"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","YearAcquired","MonthAcquired","AcceptCombo"
"609",1981,"2n Cycle","Together",75774,"One","None",27,340,21,134,258,14,56,1,7,5,8,4,"No","No","No","No","No","No","No","SA",2014,"May","No"
"610",1981,"2n Cycle","Together",75774,"One","None",27,340,21,134,258,14,56,1,7,5,8,4,"No","No","No","No","No","No","No","SP",2014,"May","No"
"611",1988,"Master","Single",90247,"None","None",27,1184,32,352,21,16,16,1,3,4,7,1,"No","Yes","Yes","Yes","No","Yes","No","US",2014,"Apr","Yes"
"612",1960,"2n Cycle","Single",32218,"None","None",27,10,24,15,13,1,30,1,2,1,3,7,"Yes","No","No","No","No","Yes","No","SP",2014,"Feb","No"
"613",1988,"Graduation","Married",84219,"None","None",27,434,137,400,45,137,45,1,3,4,10,1,"No","No","No","No","No","No","No","SA",2014,"Feb","No"
"614",1988,"Graduation","Married",84219,"None","None",27,434,137,400,45,137,45,1,3,4,10,1,"No","No","No","No","No","No","No","CA",2014,"Feb","No"
"615",1966,"Graduation","Divorced",48877,"None","One",27,102,1,15,2,0,24,1,3,0,4,7,"No","No","No","No","No","No","No","SP",2014,"Jan","No"
"616",1950,"Graduation","Together",60905,"None","One",27,208,17,76,36,17,38,2,3,3,7,2,"No","No","No","No","No","No","No","US",2013,"Dec","No"
"617",1964,"Graduation","Married",75236,"None","One",27,438,66,400,12,38,114,1,8,3,13,4,"No","No","No","No","No","No","No","SP",2013,"Nov","No"
"618",1953,"Graduation","Divorced",62551,"None","None",27,125,16,98,134,21,27,1,6,7,4,3,"Yes","No","No","No","No","No","No","IND",2013,"Nov","No"
"619",1983,"PhD","Together",70123,"None","None",27,1308,0,396,23,0,0,1,5,7,4,3,"No","Yes","No","No","Yes","No","No","IND",2013,"Sep","Yes"
"620",1962,"Graduation","Single",50785,"One","One",27,64,1,21,0,1,27,2,2,1,3,6,"No","No","No","No","No","No","No","CA",2013,"Sep","No"
"621",1970,"2n Cycle","Married",15315,"None","None",27,7,4,13,15,8,17,2,2,0,4,5,"No","No","No","No","No","No","No","SP",2013,"Aug","No"
"622",1970,"2n Cycle","Married",15315,"None","None",27,7,4,13,15,8,17,2,2,0,4,5,"No","No","No","No","No","No","No","SP",2013,"Aug","No"
"623",1970,"PhD","Together",64413,"None","One",27,200,5,44,0,10,20,1,5,1,5,5,"No","No","No","No","No","No","No","SP",2013,"Aug","No"
"624",1981,"PhD","Married",87171,"None","None",27,1001,44,107,58,44,44,1,6,7,11,2,"Yes","No","Yes","No","No","No","No","SP",2013,"May","Yes"
"625",1961,"Graduation","Single",30081,"None","One",27,36,0,2,0,0,4,1,1,0,3,7,"No","No","No","No","No","No","No","SP",2013,"Feb","No"
"626",1976,"Graduation","Single",20180,"None","None",27,18,42,24,15,20,18,1,2,1,4,7,"No","No","No","No","No","No","No","SP",2013,"Feb","No"
"627",1976,"Graduation","Single",20180,"None","None",27,18,42,24,15,20,18,1,2,1,4,7,"No","No","No","No","No","No","No","SP",2013,"Feb","No"
"628",1966,"Graduation","Divorced",55686,"None","One",27,673,0,199,37,47,26,2,6,3,5,4,"Yes","No","No","No","No","No","No","SP",2013,"Feb","No"
"629",1959,"2n Cycle","Married",26887,"None","One",27,6,7,4,3,4,6,1,1,0,3,6,"No","No","No","No","No","No","No","SP",2013,"Feb","No"
"630",1977,"PhD","Married",61996,"None","One",27,1050,12,144,0,0,24,3,6,4,8,5,"No","Yes","No","Yes","Yes","Yes","No","SP",2013,"Jan","Yes"
"631",1952,"Graduation","Divorced",51537,"None","One",27,787,20,204,0,0,92,3,2,2,11,8,"No","No","No","No","No","No","No","SA",2012,"Dec","No"
"632",1962,"Graduation","Together",72025,"None","None",27,833,33,549,151,133,233,1,4,3,8,3,"No","No","No","No","No","No","No","SP",2012,"Nov","No"
"633",1971,"Master","Together",30538,"One","None",27,284,0,52,8,3,20,4,9,0,4,10,"No","No","No","No","No","No","No","SP",2012,"Oct","No"
"634",1991,"2n Cycle","Single",61618,"None","None",27,605,91,399,0,45,205,2,3,6,8,3,"No","No","No","No","No","No","No","IND",2012,"Sep","No"
"635",1965,"Graduation","Married",77343,"None","None",28,227,151,573,98,54,31,1,3,4,9,1,"No","No","No","No","No","No","No","CA",2014,"Jun","No"
"636",1989,"Graduation","Married",75433,"One","None",28,800,0,297,0,34,57,2,2,5,10,6,"No","Yes","No","Yes","No","No","No","SP",2014,"Apr","Yes"
"637",1962,"PhD","Widow",82571,"None","None",28,861,31,558,62,95,79,0,6,5,13,2,"No","No","Yes","No","No","No","No","SP",2014,"Apr","Yes"
"638",1954,"Master","Together",60033,"None","One",28,62,1,57,19,11,48,2,2,1,5,2,"No","No","No","No","No","No","No","SP",2014,"Mar","No"
"639",1983,"Graduation","Single",39062,"One","None",28,23,0,9,0,0,12,1,1,0,3,4,"Yes","No","No","No","No","No","No","SP",2014,"Mar","No"
"640",1972,"Graduation","Married",30023,"One","None",28,11,0,16,7,6,21,1,2,0,3,8,"No","No","No","No","No","No","No","SP",2014,"Mar","No"
"641",1970,"Graduation","Single",30015,"One","None",28,25,0,22,2,3,5,2,1,0,4,5,"No","No","No","No","No","No","No","SP",2014,"Feb","No"
"642",1980,"Graduation","Married",33228,"One","None",28,22,2,31,7,4,5,1,2,0,3,7,"No","No","No","No","No","No","No","SP",2014,"Jan","No"
"643",1967,"Graduation","Married",22574,"Two","One",28,25,0,8,2,0,2,2,2,0,3,7,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"644",1967,"Graduation","Married",22574,"Two","One",28,25,0,8,2,0,2,2,2,0,3,7,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"645",1957,"Graduation","Married",55267,"None","One",28,161,28,136,32,3,45,4,3,4,6,3,"No","No","No","No","No","No","No","CA",2013,"Oct","No"
"646",1958,"Graduation","Together",66886,"None","One",28,315,4,62,41,31,146,2,7,1,7,5,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"647",1971,"Graduation","Single",72258,"None","One",28,522,0,522,227,120,134,2,6,9,5,2,"No","No","No","No","No","No","No","CA",2013,"Sep","No"
"648",1984,"PhD","Single",82733,"None","None",28,712,50,420,65,38,38,1,8,4,7,4,"No","No","No","No","No","Yes","No","SP",2013,"Sep","No"
"649",1963,"Graduation","Divorced",45146,"One","One",28,33,0,5,0,0,15,2,1,1,2,4,"No","No","No","No","No","No","No","IND",2013,"Jul","No"
"650",1990,"2n Cycle","Single",51250,"One","None",28,342,32,230,34,32,40,5,10,5,4,9,"Yes","No","No","No","No","No","No","SA",2013,"Mar","No"
"651",1951,"Graduation","Married",32871,"One","One",28,22,2,12,0,2,5,1,1,0,3,4,"No","No","No","No","No","No","No","US",2013,"Mar","No"
"652",1978,"2n Cycle","Together",63855,"None","None",28,359,35,314,93,116,89,1,7,3,13,4,"No","No","No","No","No","No","No","GER",2013,"Feb","No"
"653",1968,"PhD","Divorced",42564,"None","One",28,324,48,186,39,18,198,6,6,8,4,7,"Yes","No","No","No","No","Yes","No","CA",2013,"Jan","No"
"654",1972,"2n Cycle","Together",46344,"None","One",28,233,20,57,8,20,91,4,7,1,5,7,"No","No","No","No","No","No","No","CA",2012,"Dec","No"
"655",1963,"Graduation","Married",50437,"None","Two",28,370,9,92,6,9,4,3,7,1,8,7,"No","No","No","No","No","No","No","SP",2012,"Oct","No"
"656",1960,"Graduation","Together",70971,"None","One",28,1001,17,572,93,125,17,7,11,11,5,7,"No","No","No","No","No","Yes","No","SP",2012,"Sep","No"
"657",1977,"Graduation","Single",37774,"Two","None",28,173,8,107,7,2,176,4,7,2,3,9,"Yes","No","No","No","No","Yes","Yes","SP",2012,"Sep","No"
"658",1963,"PhD","Married",4023,"One","One",29,5,0,1,1,1,1,15,0,0,0,19,"No","No","No","No","No","No","No","SP",2014,"Jun","No"
"659",1966,"Graduation","Single",33279,"None","None",29,10,3,3,0,0,0,1,0,0,3,3,"No","No","No","No","No","No","No","SP",2014,"Jun","No"
"660",1978,"Graduation","Married",42693,"One","None",29,8,4,20,6,3,16,1,1,0,3,5,"No","No","No","No","No","No","No","SP",2014,"Jun","No"
"661",1952,"Master","Together",70545,"None","One",29,138,39,63,55,18,21,1,4,1,7,2,"No","No","No","No","No","No","No","AUS",2014,"Jun","No"
"662",1957,"Graduation","Widow",65486,"None","One",29,245,19,125,37,67,14,1,4,2,10,2,"No","No","No","No","No","No","No","AUS",2014,"May","No"
"663",1981,"Master","Together",77882,"None","None",29,68,129,396,188,22,15,1,3,3,5,1,"No","No","No","No","No","No","No","SA",2014,"Apr","No"
"664",1960,"Graduation","Together",78468,"None","None",29,434,22,388,104,22,34,1,10,7,10,4,"No","No","No","Yes","No","No","No","US",2014,"Apr","Yes"
"665",1963,"Graduation","Together",77226,"None","One",29,631,43,239,128,76,21,2,6,8,12,3,"No","No","No","No","No","No","No","SP",2014,"Feb","No"
"666",1991,"Master","Single",90638,"None","None",29,1156,120,915,94,144,96,1,3,4,10,1,"No","No","Yes","No","No","No","No","SP",2014,"Feb","Yes"
"667",1991,"Master","Single",90638,"None","None",29,1156,120,915,94,144,96,1,3,4,10,1,"No","No","Yes","No","No","Yes","No","SA",2014,"Feb","Yes"
"668",1948,"Graduation","Together",70666,"None","None",29,398,40,367,119,122,30,1,7,4,4,4,"No","No","No","No","No","No","No","AUS",2013,"Dec","No"
"669",1959,"2n Cycle","Divorced",59052,"None","One",29,230,35,75,63,57,31,3,7,1,7,5,"No","No","No","No","No","No","No","SA",2013,"Nov","No"
"670",1952,"Basic","Together",13084,"None","None",29,2,0,7,3,7,10,1,1,0,3,6,"No","No","No","No","No","No","No","US",2013,"Nov","No"
"671",1949,"Graduation","Divorced",49160,"None","One",29,122,21,43,25,10,15,2,3,1,6,6,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"672",1953,"Graduation","Divorced",23272,"None","None",29,19,3,6,4,2,12,1,1,0,3,4,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"673",1963,"Master","Divorced",49476,"None","One",29,386,23,95,54,41,196,4,2,11,5,2,"No","No","No","No","No","No","No","CA",2013,"Jun","No"
"674",1965,"Master","Married",62694,"One","One",29,379,6,157,25,91,91,5,9,3,7,7,"No","No","No","No","No","No","No","SP",2013,"Jun","No"
"675",1973,"PhD","Together",57906,"None","One",29,243,11,119,10,3,15,3,4,2,8,4,"No","No","No","No","No","No","No","IND",2013,"Jun","No"
"676",1982,"Graduation","Together",71853,"None","None",29,358,108,413,141,97,32,1,2,8,6,1,"No","No","No","No","No","No","No","SP",2013,"May","No"
"677",1982,"Graduation","Together",71853,"None","None",29,358,108,413,141,97,32,1,2,8,6,1,"No","No","No","No","No","No","No","SP",2013,"May","No"
"678",1959,"Graduation","Married",65031,"None","One",29,258,107,291,84,37,86,4,10,3,13,7,"No","No","No","No","No","No","No","GER",2013,"Mar","No"
"679",1960,"Graduation","Together",30507,"None","None",29,65,36,74,38,20,110,1,5,1,4,7,"No","No","No","No","No","No","No","SP",2013,"Mar","No"
"680",1970,"Graduation","Together",67419,"None","One",29,846,84,352,91,56,42,4,9,4,8,5,"No","No","No","No","No","No","No","CA",2013,"Jan","No"
"681",1950,"Graduation","Married",59462,"None","One",29,724,17,143,0,8,196,2,9,2,12,7,"No","No","No","No","No","No","No","US",2013,"Jan","No"
"682",1994,"Graduation","Single",95529,"None","None",29,770,29,890,250,27,24,1,7,3,7,3,"No","No","Yes","No","No","Yes","No","SA",2012,"Dec","Yes"
"683",1953,"Graduation","Widow",53653,"None","None",29,815,10,239,28,10,108,2,10,4,12,6,"No","No","No","No","No","No","No","SP",2012,"Nov","No"
"684",1980,"Basic","Married",25965,"None","None",29,2,2,11,41,7,11,1,2,0,3,8,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"685",1970,"Graduation","Married",22979,"One","None",29,16,17,19,20,21,22,3,3,2,2,8,"No","No","No","No","No","Yes","No","SP",2012,"Sep","No"
"686",1951,"PhD","Single",64950,"None","One",29,819,0,72,12,0,63,2,11,2,10,7,"No","Yes","No","No","No","No","No","SA",2012,"Aug","No"
"687",1985,"Graduation","Married",44322,"One","None",30,46,0,40,3,0,3,2,3,0,3,8,"No","No","No","No","No","No","No","SA",2014,"Jun","No"
"688",1983,"Graduation","Married",30096,"One","None",30,5,3,11,12,5,9,1,2,0,3,6,"No","No","No","No","No","No","No","GER",2014,"May","No"
"689",1983,"Graduation","Married",30096,"One","None",30,5,3,11,12,5,9,1,2,0,3,6,"No","No","No","No","No","No","No","SP",2014,"May","No"
"690",1977,"Graduation","Single",56628,"None","One",30,479,5,82,7,17,171,2,7,6,5,5,"Yes","No","No","No","No","No","No","CA",2014,"Mar","No"
"691",1977,"2n Cycle","Together",82326,"None","None",30,938,142,754,159,81,183,1,5,10,6,2,"No","Yes","Yes","Yes","No","Yes","No","SP",2014,"Mar","Yes"
"692",1995,"Graduation","Single",71163,"None","None",30,283,17,372,138,106,44,1,3,8,12,1,"No","No","No","No","No","No","No","GER",2014,"Mar","No"
"693",1978,"Graduation","Divorced",71022,"None","One",30,909,12,278,0,12,242,3,5,2,11,8,"Yes","No","No","No","No","No","No","US",2014,"Feb","No"
"694",1954,"2n Cycle","Single",42607,"None","One",30,156,29,56,30,32,47,2,3,2,7,3,"No","No","No","No","No","No","No","SA",2013,"Nov","No"
"695",1975,"Graduation","Married",43057,"None","One",30,213,2,44,0,2,5,4,4,2,5,5,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"696",1975,"Master","Married",47808,"None","One",30,123,1,26,2,0,72,2,3,2,3,7,"Yes","No","No","No","No","No","No","SP",2013,"Oct","No"
"697",1987,"Graduation","Single",29236,"One","None",30,37,4,24,16,9,9,2,4,0,3,9,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"698",1969,"Graduation","Widow",40590,"One","One",30,154,0,50,6,11,37,5,3,4,3,6,"Yes","No","No","No","No","No","No","CA",2013,"Oct","No"
"699",1969,"Graduation","Widow",40590,"One","One",30,154,0,50,6,11,37,5,3,4,3,6,"Yes","No","No","No","No","No","No","CA",2013,"Oct","No"
"700",1959,"Master","Married",77520,"None","One",30,940,44,396,0,88,58,1,8,7,7,4,"Yes","No","Yes","Yes","No","Yes","No","SP",2013,"Aug","Yes"
"701",1981,"Graduation","Married",40211,"One","One",30,51,1,7,2,1,25,2,2,1,2,8,"Yes","No","No","No","No","No","No","SP",2013,"Jul","No"
"702",1973,"PhD","Together",63516,"One","One",30,141,11,114,15,14,5,4,4,1,7,5,"No","No","No","No","No","No","No","CA",2013,"Jul","No"
"703",1974,"Graduation","Divorced",53034,"One","One",30,160,15,196,15,11,50,8,6,1,7,8,"No","No","No","No","No","No","No","US",2013,"May","No"
"704",1975,"Master","Together",22669,"One","None",30,16,14,36,37,22,48,3,4,1,2,9,"No","No","No","No","No","Yes","No","SP",2013,"May","No"
"705",1982,"Graduation","Married",79908,"None","None",30,557,129,761,29,185,111,1,5,6,7,2,"No","No","Yes","No","No","No","No","SP",2013,"Apr","Yes"
"706",1986,"PhD","Single",69867,"None","None",30,196,0,512,33,130,54,1,3,5,8,1,"No","No","No","Yes","No","Yes","No","SA",2013,"Apr","Yes"
"707",1966,"Graduation","Divorced",70287,"None","None",30,295,35,482,121,120,40,1,5,5,10,3,"No","No","No","No","No","Yes","No","AUS",2013,"Apr","No"
"708",1966,"Graduation","Single",37070,"One","One",30,231,7,137,4,15,39,9,5,1,8,7,"No","No","No","No","No","Yes","No","SA",2013,"Mar","No"
"709",1966,"Graduation","Single",37070,"One","One",30,231,7,137,4,15,39,9,5,1,8,7,"No","No","No","No","No","Yes","No","SP",2013,"Mar","No"
"710",1966,"Master","Married",38179,"One","One",30,38,4,22,4,2,20,4,3,1,3,7,"No","No","No","No","No","No","No","SA",2013,"Mar","No"
"711",1983,"Graduation","Married",39922,"One","None",30,29,12,59,19,1,36,2,3,0,4,8,"No","No","No","No","No","No","No","IND",2013,"Feb","No"
"712",1983,"Graduation","Married",39922,"One","None",30,29,12,59,19,1,36,2,3,0,4,8,"No","No","No","No","No","No","No","GER",2013,"Feb","No"
"713",1983,"Graduation","Married",39922,"One","None",30,29,12,59,19,1,36,2,3,0,4,8,"No","No","No","No","No","No","No","SA",2013,"Feb","No"
"714",1963,"Master","Single",64191,"None","One",30,420,15,186,151,38,15,3,5,3,13,3,"No","No","No","No","No","No","No","SP",2013,"Jan","No"
"715",1975,"2n Cycle","Single",41658,"One","One",30,8,4,12,15,4,29,2,1,1,2,4,"No","No","No","No","No","No","No","AUS",2012,"Nov","No"
"716",1976,"Graduation","Divorced",40780,"None","One",30,229,27,71,13,3,34,4,7,1,5,9,"No","No","No","No","No","No","No","CA",2012,"Sep","No"
"717",1979,"Graduation","Together",77568,"None","One",30,1230,0,396,232,178,158,1,10,2,8,5,"No","Yes","Yes","Yes","No","No","No","SP",2012,"Aug","Yes"
"718",1985,"Graduation","Single",66503,"One","None",30,91,64,128,65,3,50,2,4,3,6,3,"No","No","No","No","No","No","No","SP",2012,"Aug","No"
"719",1986,"Graduation","Married",83512,"None","None",31,1060,61,835,80,20,101,1,4,7,10,1,"Yes","No","Yes","Yes","Yes","Yes","No","SP",2014,"Jun","Yes"
"720",1964,"PhD","Married",31686,"One","One",31,11,0,5,0,0,1,2,1,0,3,6,"No","No","No","No","No","No","No","SA",2014,"Jun","No"
"721",1976,"Graduation","Together",71322,"None","One",31,121,24,124,24,15,42,1,4,1,7,2,"No","No","No","No","No","No","No","AUS",2014,"May","No"
"722",1988,"Graduation","Single",27938,"One","None",31,13,0,8,2,1,5,1,1,0,4,3,"No","No","No","No","No","No","No","AUS",2014,"Apr","No"
"723",1951,"Graduation","Divorced",22263,"One","One",31,17,0,2,0,0,2,2,1,0,3,6,"No","No","No","No","No","No","Yes","SP",2014,"Mar","No"
"724",1956,"Graduation","Together",34633,"Two","One",31,8,1,5,0,0,1,1,1,0,2,6,"No","No","No","No","No","No","No","SA",2014,"Jan","No"
"725",1981,"Graduation","Together",42162,"One","None",31,46,7,59,2,4,27,2,3,1,3,6,"Yes","No","No","No","No","Yes","No","SP",2013,"Nov","No"
"726",1976,"PhD","Together",162397,"One","One",31,85,1,16,2,1,2,0,0,0,1,1,"No","No","No","No","No","No","No","SP",2013,"Jun","No"
"727",1978,"Graduation","Widow",54162,"One","One",31,5,6,10,6,5,10,1,1,0,3,4,"No","No","No","No","No","No","No","SP",2013,"Mar","No"
"728",1955,"2n Cycle","Divorced",41769,"None","One",31,302,29,131,32,0,27,6,8,1,7,8,"No","No","No","No","No","No","No","IND",2013,"Feb","No"
"729",1981,"PhD","Together",44953,"None","None",31,728,17,133,11,8,124,1,7,3,13,6,"Yes","No","No","No","No","No","No","GER",2012,"Dec","No"
"730",1978,"PhD","Married",37717,"One","None",31,9,0,6,4,1,5,1,1,0,2,9,"No","No","No","No","No","No","No","SA",2012,"Nov","No"
"731",1978,"PhD","Married",37717,"One","None",31,9,0,6,4,1,5,1,1,0,2,9,"No","No","No","No","No","No","No","SP",2012,"Nov","No"
"732",1970,"Graduation","Together",40548,"None","One",31,110,0,5,2,0,3,2,2,1,4,5,"No","Yes","No","No","No","No","No","AUS",2012,"Oct","No"
"733",1975,"2n Cycle","Divorced",67893,"None","One",31,711,28,142,49,18,47,2,3,2,9,8,"No","No","No","No","No","No","No","SA",2012,"Oct","No"
"734",1953,"Graduation","Single",69267,"None","None",31,778,44,499,95,73,146,2,3,4,5,7,"No","No","No","No","No","Yes","No","SA",2012,"Sep","No"
"735",1976,"Basic","Divorced",9548,"One","None",31,0,1,3,10,6,9,2,1,0,3,8,"No","No","No","No","No","No","No","CA",2012,"Aug","No"
"736",1958,"Graduation","Single",68281,"None","None",31,995,112,417,42,48,41,1,2,9,13,5,"No","No","No","No","No","Yes","No","SP",2012,"Aug","No"
"737",1960,"2n Cycle","Together",92556,"None","None",32,493,183,352,184,23,28,0,3,5,13,0,"No","No","No","No","No","No","No","SP",2014,"Apr","No"
"738",1979,"Graduation","Single",48526,"One","None",32,23,17,23,43,20,9,1,2,1,4,3,"No","No","No","No","No","No","No","SP",2013,"Dec","No"
"739",1991,"Graduation","Single",90273,"None","None",32,704,129,853,120,74,111,1,5,6,7,2,"No","Yes","Yes","Yes","No","Yes","No","SP",2013,"Dec","Yes"
"740",1981,"2n Cycle","Together",19414,"One","None",32,2,3,12,3,5,7,1,1,0,3,8,"No","No","No","No","No","No","No","CA",2013,"Oct","No"
"741",1958,"PhD","Single",79761,"None","One",32,415,5,124,15,35,11,1,5,2,11,3,"No","No","No","No","No","No","No","SA",2013,"Oct","No"
"742",1951,"PhD","Married",53312,"None","None",32,241,0,12,0,0,25,1,5,1,5,7,"No","No","No","No","No","No","No","SP",2013,"Aug","No"
"743",1982,"2n Cycle","Together",41039,"None","None",32,34,11,137,179,61,45,1,8,1,5,8,"No","No","No","No","No","No","No","US",2013,"Jul","No"
"744",1961,"Graduation","Together",88347,"None","None",32,1050,178,555,77,138,118,1,4,7,9,1,"No","No","No","Yes","No","No","No","SP",2013,"Jul","Yes"
"745",1983,"PhD","Married",50150,"None","None",32,135,46,92,65,61,11,2,5,2,7,5,"No","No","No","No","No","No","No","CA",2013,"Jun","No"
"746",1983,"PhD","Married",50150,"None","None",32,135,46,92,65,61,11,2,5,2,7,5,"No","No","No","No","No","No","No","SP",2013,"Jun","No"
"747",1971,"Graduation","Single",10245,"One","None",32,4,7,7,6,4,13,3,1,2,2,5,"No","No","No","No","No","No","No","SP",2013,"May","No"
"748",1985,"PhD","Married",33454,"One","None",32,76,10,56,3,1,23,2,4,0,4,8,"No","No","No","No","No","No","No","US",2013,"May","No"
"749",1952,"Graduation","Single",40887,"One","One",32,50,4,44,10,10,43,3,3,1,3,9,"No","No","No","No","No","Yes","No","SP",2013,"May","No"
"750",1975,"Graduation","Together",55914,"None","One",32,384,60,364,119,101,232,4,11,6,8,7,"No","No","No","No","No","No","No","US",2013,"Apr","No"
"751",1983,"Graduation","Together",37292,"One","None",32,275,0,86,10,23,66,5,6,3,5,8,"No","No","No","No","No","No","No","SP",2013,"Apr","No"
"752",1971,"Graduation","Married",52914,"None","One",32,254,10,44,30,10,227,2,7,3,3,7,"Yes","No","No","No","No","No","No","CA",2013,"Jan","No"
"753",1972,"2n Cycle","Married",24884,"One","None",32,3,6,7,0,0,3,1,0,0,3,7,"No","No","No","No","No","No","No","SP",2012,"Nov","No"
"754",1970,"Graduation","Single",67384,"None","One",32,957,40,175,158,53,107,2,7,8,5,5,"No","Yes","No","No","No","No","No","SP",2012,"Nov","No"
"755",1960,"Graduation","Married",51651,"None","One",32,293,6,23,13,6,92,4,6,2,5,8,"No","No","No","No","No","No","No","AUS",2012,"Nov","No"
"756",1980,"Graduation","Married",82497,"None","None",32,777,129,573,216,21,203,1,2,7,9,4,"No","No","Yes","No","No","No","No","SA",2012,"Oct","Yes"
"757",1963,"2n Cycle","Married",32632,"None","None",32,63,151,137,153,19,53,2,4,4,8,5,"No","No","No","No","No","No","No","SP",2012,"Aug","No"
"758",1963,"Master","Married",33562,"One","Two",33,21,12,12,0,3,3,3,2,0,4,4,"No","No","No","No","No","No","No","IND",2014,"Jun","No"
"759",1967,"Graduation","Single",79146,"One","One",33,245,16,223,21,43,16,2,8,1,8,6,"No","No","No","No","No","No","No","GER",2014,"Apr","No"
"760",1967,"Graduation","Single",79146,"One","One",33,245,16,223,21,43,16,2,8,1,8,6,"No","No","No","No","No","No","No","SP",2014,"Apr","No"
"761",1981,"Master","Single",36143,"One","None",33,12,0,1,0,0,6,1,0,1,2,3,"No","No","No","No","No","No","No","SP",2014,"Mar","No"
"762",1973,"Master","Married",27159,"One","One",33,17,0,3,0,0,1,2,1,0,3,6,"No","No","No","No","No","No","No","SP",2014,"Mar","No"
"763",1960,"Master","Together",41275,"One","Two",33,24,4,22,0,2,9,4,3,1,3,5,"No","No","No","No","No","No","No","CA",2014,"Mar","No"
"764",1965,"2n Cycle","Married",76800,"None","None",33,173,26,255,35,71,81,1,4,4,7,1,"No","No","No","No","No","No","No","IND",2014,"Mar","No"
"765",1987,"Graduation","Married",75794,"None","None",33,754,160,625,63,32,48,1,7,5,12,3,"No","No","No","Yes","No","No","No","SA",2013,"Dec","Yes"
"766",1951,"Graduation","Married",30833,"One","One",33,11,0,7,3,1,6,2,1,0,3,5,"No","No","No","No","No","No","No","SP",2013,"Jul","No"
"767",1949,"PhD","Single",26518,"One","One",33,20,1,28,3,3,2,3,2,0,3,8,"No","No","No","No","No","Yes","No","US",2013,"Apr","No"
"768",1981,"Graduation","Single",91065,"None","None",33,822,114,108,179,137,114,1,7,9,9,3,"No","No","Yes","Yes","No","Yes","No","SP",2013,"Feb","Yes"
"769",1962,"Master","Single",45183,"None","None",33,219,3,60,12,9,12,1,4,1,7,7,"No","Yes","No","No","No","No","No","CA",2013,"Jan","No"
"770",1950,"Graduation","Together",48070,"None","One",33,373,14,83,6,9,19,3,8,2,6,7,"No","No","No","No","No","No","Yes","SP",2013,"Jan","No"
"771",1971,"Graduation","Widow",30372,"One","One",33,15,0,12,7,3,7,3,2,0,3,7,"No","No","No","No","No","No","No","SP",2012,"Dec","No"
"772",1971,"Graduation","Widow",30372,"One","One",33,15,0,12,7,3,7,3,2,0,3,7,"No","No","No","No","No","No","No","SP",2012,"Dec","No"
"773",1975,"2n Cycle","Married",57036,"None","One",33,1171,43,219,19,14,47,4,6,3,13,9,"Yes","No","No","No","No","No","No","IND",2012,"Dec","No"
"774",1970,"Graduation","Widow",66731,"None","One",33,371,159,194,58,106,141,4,4,3,6,3,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"775",1970,"PhD","Divorced",35682,"One","None",34,23,0,8,6,2,18,1,1,1,3,2,"No","No","No","No","No","No","No","AUS",2014,"Jun","No"
"776",1989,"Master","Divorced",10979,"None","None",34,8,4,10,2,2,4,2,3,0,3,5,"No","No","No","No","No","No","No","AUS",2014,"May","No"
"777",1989,"Master","Divorced",10979,"None","None",34,8,4,10,2,2,4,2,3,0,3,5,"No","No","No","No","No","No","No","SP",2014,"May","No"
"778",1965,"PhD","Divorced",57912,"None","One",34,801,0,80,0,0,35,5,8,3,12,5,"No","Yes","No","No","No","No","No","SA",2014,"Mar","No"
"779",1972,"Graduation","Married",36026,"Two","One",34,20,4,10,6,4,17,2,2,0,3,6,"No","No","No","No","No","No","No","AUS",2014,"Mar","No"
"780",1971,"Graduation","Married",35788,"One","One",34,23,2,11,3,1,4,2,2,0,3,6,"No","No","No","No","No","No","No","CA",2014,"Jan","No"
"781",1959,"Graduation","Married",42243,"One","One",34,48,0,2,0,0,5,2,2,0,3,7,"No","No","No","No","No","No","No","SA",2013,"Dec","No"
"782",1956,"Graduation","Divorced",46086,"None","One",34,244,8,32,7,2,50,4,3,1,8,4,"No","No","No","No","No","No","No","SP",2013,"Nov","No"
"783",1978,"Master","Together",61346,"One","None",34,562,58,168,43,16,142,1,5,7,10,3,"No","No","No","No","No","No","No","IND",2013,"Oct","No"
"784",1971,"Master","Single",33316,"One","One",34,79,1,31,4,4,12,3,2,1,4,6,"No","No","No","No","No","No","No","US",2013,"Oct","No"
"785",1971,"Master","Single",33316,"One","One",34,79,1,31,4,4,12,3,2,1,4,6,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"786",1987,"Basic","Single",21063,"One","None",34,1,10,11,19,3,15,2,2,0,3,6,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
